pair,layer,r2
atomic mass - group,25,-2.8802236091711917
atomic mass - group,26,-3.082594876654762
atomic mass - group,27,-3.440141421931775
atomic mass - group,28,-3.1848286162530512
atomic mass - group,29,-3.2744410875823795
atomic mass - group,30,-1.3305894823996502
atomic mass - group,31,-1.40255510735151
atomic mass - group,32,-1.5124518640381466
atomic mass - group,33,-1.7164535714998685
atomic mass - group,34,-1.784443654271189
atomic mass - group,35,-3.284629443605799
atomic mass - group,36,-1.6994124831292254
atomic mass - group,37,-0.29124675813074397
atomic mass - group,38,-0.22111699920167943
atomic mass - group,39,0.5046180713392541
atomic mass - group,40,0.46735540418642174
atomic mass - group,41,0.3482771163555534
atomic mass - group,42,0.28663774318820623
atomic mass - group,43,0.1871588523195937
atomic mass - group,44,0.07791677254462945
atomic mass - group,45,0.1283168858167954
atomic mass - group,46,0.11612268313632197
atomic mass - group,47,0.2678565261251742
atomic mass - group,48,0.2296980994323825
atomic mass - group,49,0.21781337598301978
atomic mass - group,50,0.22501953125223886
atomic mass - group,51,0.22203539224833366
atomic mass - group,52,0.20071258829653416
atomic mass - group,53,0.23342800738921463
atomic mass - group,54,0.2016847555355506
atomic mass - group,55,0.17755315965137639
atomic mass - group,56,0.13223477049378024
atomic mass - group,57,0.1275570280292796
atomic mass - group,58,0.09341620474825518
atomic mass - group,59,0.09682503122482153
atomic mass - group,60,0.04398369103754196
atomic mass - group,61,0.012757795560454532
atomic mass - group,62,0.057996534625631216
atomic mass - group,63,0.050389501363455415
atomic mass - group,64,0.08160859105770712
atomic mass - group,65,-0.00231478242433871
atomic mass - group,66,0.13685221655404195
atomic mass - group,67,-0.010790072701239627
atomic mass - group,68,-0.10902882858046936
atomic mass - group,69,-0.14813260253437105
atomic mass - group,70,-0.09349962940816359
atomic mass - group,71,-0.1954045379926432
atomic mass - group,72,-0.6782645492554221
atomic mass - group,73,-0.48243366344559624
atomic mass - group,74,-0.457613220480395
atomic mass - group,75,-0.36766080397477807
atomic mass - group,76,-0.5425948425583262
atomic mass - group,77,-0.6438687693154961
atomic mass - group,78,-0.47243720165723496
atomic mass - group,79,-0.7808060475853327
atomic mass - period,1,0.9577325854675165
atomic mass - period,2,0.9417883411923678
atomic mass - period,3,0.8968401200175442
atomic mass - period,4,0.7105600868379299
atomic mass - period,5,0.3280672376038999
atomic mass - period,6,-0.1412711065797287
atomic mass - period,7,0.1447181302032201
atomic mass - period,8,-0.40578008084706846
atomic mass - period,9,-0.47631129550591256
atomic mass - period,10,-0.6296560668718414
atomic mass - period,11,-0.4966315087894063
atomic mass - period,12,-0.401296153106251
atomic mass - period,13,-0.5864409347759054
atomic mass - period,14,-0.4371227761105593
atomic mass - period,15,-0.5826762136241312
atomic mass - period,16,-0.9356500699566082
atomic mass - period,17,-1.1427592832167615
atomic mass - period,18,-1.4599748551212544
atomic mass - period,19,-1.4008981765382138
atomic mass - period,20,-3.793087734311147
atomic mass - period,21,-2.2363907390653797
atomic mass - period,22,-2.1187602743416756
atomic mass - period,23,-1.9403615029517263
atomic mass - period,24,-2.1197544492439224
atomic mass - period,25,-2.4013717271516777
atomic mass - period,26,-2.912507615330601
atomic mass - period,27,-2.272411722712993
atomic mass - period,28,-2.3887218153459466
atomic mass - period,29,-2.0315288612119797
atomic mass - period,30,-1.3513236757851788
atomic mass - period,31,-1.5279468274242887
atomic mass - period,32,-1.502005553268055
atomic mass - period,33,-1.5124066625490298
atomic mass - period,34,-1.524951759298679
atomic mass - period,35,-2.6534775550884526
atomic mass - period,36,-1.0870151997288444
atomic mass - period,37,0.037378863284971954
atomic mass - period,38,-0.06271884873640299
atomic mass - period,39,0.5327328626453658
atomic mass - period,40,0.4979411248604122
atomic mass - period,41,0.4424237594433841
atomic mass - period,42,0.4870050154018431
atomic mass - period,43,0.5419808274003695
atomic mass - period,44,0.0436054472784904
atomic mass - period,45,0.4052926640582647
