entity_type,layer,silhouette_functional_group,silhouette_carbon_count
mw,29,0.3911602795124054,-0.036224182695150375
mw,30,0.36297425627708435,-0.035595446825027466
mw,31,0.29707252979278564,-0.038739223033189774
mw,32,0.08692865818738937,-0.028536181896924973
pka,1,-0.07666219770908356,-0.011736066080629826
pka,2,-0.034089356660842896,-0.005904184188693762
pka,3,-0.04257397726178169,-0.005689922720193863
pka,4,-0.03990546986460686,-0.004672164097428322
pka,5,-0.04706895351409912,-0.006601777393370867
pka,6,-0.03579628840088844,-0.0046918136067688465
pka,7,-0.059002585709095,-0.005407196003943682
pka,8,-0.06206750124692917,-0.0058557866141200066
pka,9,-0.027122778818011284,-0.0044989073649048805
pka,10,-0.05940062180161476,-0.005789144430309534
pka,11,-0.032756365835666656,-0.005339489784091711
pka,12,-0.03854075446724892,-0.004911025986075401
pka,13,-0.05110796540975571,-0.006654034368693829
pka,14,-0.06737739592790604,-0.007606023922562599
pka,15,-0.05286119133234024,-0.005865123588591814
pka,16,-0.08326808363199234,-0.006435182876884937
pka,17,0.43065935373306274,-0.005102376453578472
pka,18,0.5642064809799194,-0.006148256361484528
pka,19,0.657870352268219,-0.007593416143208742
pka,20,0.7132497429847717,-0.009266425855457783
pka,21,0.7139202952384949,-0.010575787164270878
pka,22,0.7207229733467102,-0.010705533437430859
pka,23,0.7520228624343872,-0.009562735445797443
pka,24,0.7504236102104187,-0.009470532648265362
pka,25,0.7542040944099426,-0.007615931332111359
pka,26,0.7430853843688965,-0.009741196408867836
pka,27,0.7337115406990051,-0.010641983710229397
pka,28,0.7335687279701233,-0.010633455589413643
pka,29,0.7270355820655823,-0.010236291214823723
pka,30,0.6959477066993713,-0.013106586411595345
pka,31,0.6461367607116699,-0.012273908592760563
pka,32,0.15514330565929413,-0.01675066538155079
pkah,1,-0.04940127953886986,-0.007908849976956844
pkah,2,-0.0375359021127224,-0.005354305729269981
pkah,3,-0.04643561691045761,-0.006419283337891102
pkah,4,-0.04544520378112793,-0.005793282296508551
pkah,5,-0.04029570147395134,-0.006986933760344982
pkah,6,-0.06368520110845566,-0.005506974644958973
pkah,7,-0.0572541318833828,-0.0068588899448513985
pkah,8,-0.054424889385700226,-0.0061877015978097916
pkah,9,-0.04898151755332947,-0.005157859064638615
pkah,10,-0.04263083264231682,-0.0046208687126636505
pkah,11,-0.03614285588264465,-0.005570187699049711
pkah,12,-0.04286684840917587,-0.0063363900408148766
pkah,13,-0.05680985003709793,-0.005911555606871843
pkah,14,-0.052024804055690765,-0.006235270760953426
pkah,15,-0.059673719108104706,-0.008046888746321201
pkah,16,-0.07786355167627335,-0.0053336527198553085
pkah,17,0.12846067547798157,-0.005621027201414108
pkah,18,0.3855808675289154,-0.00513300858438015
pkah,19,0.5030732750892639,-0.009275167249143124
pkah,20,0.5870848894119263,-0.008403352461755276
pkah,21,0.6087571382522583,-0.00838500540703535
pkah,22,0.6258882284164429,-0.007553251460194588
pkah,23,0.6421265006065369,-0.011508125811815262
pkah,24,0.6706973314285278,-0.010564415715634823
pkah,25,0.6647626161575317,-0.011561314575374126
pkah,26,0.6304462552070618,-0.0074158948846161366
pkah,27,0.5958994030952454,-0.010566245764493942
pkah,28,0.5111708641052246,-0.008483462035655975
pkah,29,0.4552723169326782,-0.007737882435321808
pkah,30,0.3961298167705536,-0.011500297114253044
pkah,31,0.3185243308544159,-0.010470814071595669
pkah,32,-0.05049639940261841,-0.014212056063115597
tpsa,1,-0.0875353291630745,-0.012509170919656754
tpsa,2,-0.03879360109567642,-0.006848491262644529
tpsa,3,-0.029118100181221962,-0.005143116693943739
tpsa,4,-0.03393665328621864,-0.005414048675447702
tpsa,5,-0.05209558084607124,-0.007736093830317259
tpsa,6,-0.05194612219929695,-0.005343469325453043
tpsa,7,-0.05812777578830719,-0.0064202467910945415
tpsa,8,-0.057505372911691666,-0.007930484600365162
tpsa,9,-0.0419592559337616,-0.00569988414645195
tpsa,10,-0.035864055156707764,-0.005448889918625355
tpsa,11,-0.03463653847575188,-0.005270912311971188
tpsa,12,-0.05457490682601929,-0.0070918891578912735
tpsa,13,-0.03440277650952339,-0.004978929180651903
tpsa,14,-0.040638379752635956,-0.0059628854505717754
tpsa,15,-0.035629838705062866,-0.004624728113412857
tpsa,16,-0.040355511009693146,-0.00455227866768837
tpsa,17,-0.039032984524965286,-0.004237651359289885
tpsa,18,-0.043283019214868546,-0.005118025932461023
tpsa,19,-0.04692507162690163,-0.004711977671831846
tpsa,20,-0.06301546841859818,-0.005032780580222607
tpsa,21,-0.054530419409275055,-0.004831415135413408
tpsa,22,-0.06025988236069679,-0.005678786896169186
tpsa,23,-0.05279553681612015,-0.005704300012439489
tpsa,24,-0.056730784475803375,-0.005381315480917692
tpsa,25,-0.07077807933092117,-0.00594159634783864
tpsa,26,-0.04961343854665756,-0.0061120036989450455
tpsa,27,-0.048082731664180756,-0.0063627418130636215
tpsa,28,-0.045682717114686966,-0.006476616952568293
tpsa,29,-0.06216873973608017,-0.0055951704271137714
tpsa,30,-0.05302569270133972,-0.007201667409390211
tpsa,31,-0.04169498383998871,-0.007158883381634951
tpsa,32,-0.08709443360567093,-0.02291157655417919
avg_carbon_oxidation_state,1,-0.0588626004755497,-0.013532154262065887
avg_carbon_oxidation_state,2,-0.034876033663749695,-0.005160197149962187
avg_carbon_oxidation_state,3,-0.03483876213431358,-0.0070968326181173325
avg_carbon_oxidation_state,4,-0.044816095381975174,-0.004916508216410875
avg_carbon_oxidation_state,5,-0.035194966942071915,-0.005613232031464577
avg_carbon_oxidation_state,6,-0.0594492144882679,-0.00581585755571723
avg_carbon_oxidation_state,7,-0.030206596478819847,-0.005292976275086403
avg_carbon_oxidation_state,8,-0.03203717619180679,-0.004782540258020163
avg_carbon_oxidation_state,9,-0.04588557034730911,-0.0053540244698524475
avg_carbon_oxidation_state,10,-0.04413337633013725,-0.006742847617715597
avg_carbon_oxidation_state,11,-0.0389898456633091,-0.006497856229543686
